group,key,value,unit,note
body,hex,#a58e6f,,THE ONE LITERAL — not canonical until the Design Director freezes C
body,authored.L,0.66,Oklab L,the derivation source for the character tone
body,authored.C,0.052,Oklab C,
body,authored.H,75,deg,
body,inGamut,true,,
body,clipped,false,,
body,contrast.world,6.070,:1,on #101010
body,contrast.surface,5.664,:1,on #181818
chroma,body,0.0516,Oklab C,
chroma,frozenNeutralMax,0.0153,Oklab C,the warmest frozen neutral
chroma,derivedFloor,0.0334,Oklab C,"midpoint — separates ""a second body"" from ""the frozen ramp"""
character,targetAmplitude,0.032,Oklab L,accepted in C1R
character,proofEraConstant,96,px,"RECORDED, NOT FROZEN"
invariant,I-01,PASS,,Exactly one dark Living Brass body literal exists
invariant.probe,I-01,FIRED,,
invariant,I-02,PASS,,Identity aliases resolve to the one body
invariant.probe,I-02,FIRED,,
invariant,I-03,PASS,,Persistent navigation machinery resolves to the one body under P2
invariant.probe,I-03,FIRED,,
invariant,I-04,PASS,,"No state token resolves to the material, and no state sibling of the family exists"
invariant.probe,I-04,FIRED,,
invariant,I-05,PASS,,"No status token aliases the material, and the status namespace is empty"
invariant.probe,I-05,FIRED,,
invariant,I-06,PASS,,No analytical token resolves to the material
invariant.probe,I-06,FIRED,,
invariant,I-07,PASS,,No text or content token resolves to the material — BRASS NEVER SETS TYPE
invariant.probe,I-07,FIRED,,
invariant,I-08,PASS,,"No border, divider, rule or outline token resolves to the material — BRASS NEVER ENCLOSES"
invariant.probe,I-08,FIRED,,
invariant,I-09,PASS,,No Brass opacity ladder exists
invariant.probe,I-09,FIRED,,
invariant,I-10,PASS,,"No Brass lightness or chroma ladder exists — the character tone is derived, not stored"
invariant.probe,I-10,FIRED,,
invariant,I-11,PASS,,The retired bodies appear nowhere except where they are named as retired
invariant.probe,I-11,FIRED,,
invariant,I-12,PASS,,"No second Living Brass body exists, under any name"
invariant.probe,I-12,FIRED,,
invariant,I-13,PASS,,No Light appearance value is invented — light resolution FAILS LOUDLY
invariant.probe,I-13,FIRED,,
invariant,I-14,PASS,,"The QANDEEL Light namespace is reserved, empty, and not aliased to the material"
