group,label,hex,authored_L,authored_C,authored_H,rendered_L,rendered_C,rendered_H,drift_L,drift_C,drift_H,in_srgb_gamut,gamut_clipped,vs_world_base,vs_diagnostic_subtle,worst_case,wcag_role,wcag_floor,wcag_pass,apple_dark_7to1,lightness_above,context
world,"World Base (sole incumbent, preserved)",#101010,0.1730,0.0000,,0.1730,0.0000,,0.0000,0.0000,,true,false,1.000,1.072,1.000,,,,,0.8270,A3 preserves #101010 and does not search for another World value. NOT canonical.
surface-diagnostic,"Diagnostic Subtle, World + dL 0.035",#181818,0.2080,0.0000,,0.2090,0.0000,,0.0010,0.0000,,true,false,1.072,1.000,1.000,,,,,0.7910,NON-CANONICAL proof scaffolding carried from A2 so a reading value can be judged on two surfaces. No Subtle ladder is being designed and no surface hierarchy is being decided.
non-text-diagnostic,"Analysis Map edge, solved to WCAG 1.4.11 3:1",#646464,0.5015,0.0000,,0.5032,0.0000,,0.0018,0.0000,,true,false,3.216,3.001,3.001,non-text,3.0,true,,0.4968,"NON-CANONICAL diagnostic carried from A2, solved against the Subtle because that is the lighter of the two surfaces a mark can land on. Not promoted into a token by A3."
control,CONTROL - A1 Primary - Primary Reading Neutral,#e1ded3,0.8999,0.0151,94.2,0.8999,0.0151,94.2,0.0000,0.0000,0.00,true,false,14.127,13.182,13.182,normal,4.5,true,true,0.1001,"A1 Primary. CONTROL ONLY - on the boards to show what was gained and lost, NOT a third finalist. Primary Body 17/30/400."
finalist,PRIMARY P1 - Primary Reading Neutral,#d8d5ca,0.8723,0.0153,94.2,0.8723,0.0153,94.2,0.0000,0.0000,0.00,true,false,12.948,12.083,12.083,normal,4.5,true,true,0.1277,FINALIST. A1 Primary lowered by OKLCH L -0.0275 with chroma and hue held. Primary Body 17/30/400. A3 does not choose between the finalists.
finalist,PRIMARY P2 - Primary Reading Neutral,#d2cfc4,0.8538,0.0153,94.2,0.8538,0.0153,94.2,0.0000,0.0000,0.00,true,false,12.198,11.383,11.383,normal,4.5,true,true,0.1462,FINALIST. A1 Primary lowered by OKLCH L -0.0475 with chroma and hue held. Primary Body 17/30/400. A3 does not choose between the finalists.
reading-unchanged,"Secondary (unchanged, not under test)",#afaca3,0.7443,0.0131,91.6,0.7443,0.0131,91.6,0.0000,0.0000,0.00,true,false,8.384,7.823,7.823,normal,4.5,true,true,0.2557,"Supporting Body 15/25/400 (= 11.25 CSS pt, NOT a native iOS pt). Worst case across both surfaces is 7.823:1."
reading-unchanged,"Tertiary (unchanged, not under test)",#8b8982,0.6297,0.0106,93.6,0.6297,0.0106,93.6,0.0000,0.0000,0.00,true,false,5.435,5.072,5.072,normal,4.5,true,false,0.3703,"Metadata 12/20/500 (= 9.00 CSS pt, NOT a native iOS pt). Worst case across both surfaces is 5.072:1. BELOW the 7:1 Apple asks of custom colours in Dark Mode, especially in small text - see A3_FAILURES."
diagnostic-probe,achromatic probe L 0.92,#e4e4e4,0.9200,0.0000,,0.9189,0.0000,,-0.0011,0.0000,,true,false,14.966,13.965,13.965,,,,,0.0811,"NON-CANONICAL DIAGNOSTIC ONLY - not QANDEEL Light, not a proposal for it, chroma exactly 0, no hue, no glow, no gradient. Its entitlement stops at the solid fill it actually renders: it says nothing about levels for text, nothing about small marks, and nothing about a token ladder."
diagnostic-probe,achromatic probe L 0.95,#eeeeee,0.9500,0.0000,,0.9491,0.0000,,-0.0009,0.0000,,true,false,16.400,15.304,15.304,,,,,0.0509,"NON-CANONICAL DIAGNOSTIC ONLY - not QANDEEL Light, not a proposal for it, chroma exactly 0, no hue, no glow, no gradient. Its entitlement stops at the solid fill it actually renders: it says nothing about levels for text, nothing about small marks, and nothing about a token ladder."
diagnostic-probe,achromatic probe L 0.98,#f8f8f8,0.9800,0.0000,,0.9791,0.0000,,-0.0009,0.0000,,true,false,17.917,16.719,16.719,,,,,0.0209,"NON-CANONICAL DIAGNOSTIC ONLY - not QANDEEL Light, not a proposal for it, chroma exactly 0, no hue, no glow, no gradient. Its entitlement stops at the solid fill it actually renders: it says nothing about levels for text, nothing about small marks, and nothing about a token ladder."
diagnostic-probe,achromatic probe L 1.00,#ffffff,1.0000,0.0000,,1.0000,0.0000,,0.0000,0.0000,,true,false,19.028,17.756,17.756,,,,,-0.0000,"NON-CANONICAL DIAGNOSTIC ONLY - not QANDEEL Light, not a proposal for it, chroma exactly 0, no hue, no glow, no gradient. Its entitlement stops at the solid fill it actually renders: it says nothing about levels for text, nothing about small marks, and nothing about a token ladder."
